Attempt,NetworkOutput,Real Output,Accuracy
0,0.3980877,0.4158,95.74
1,0.8080854,0.8016,99.19
2,0.6902247,0.7301,94.54
3,0.7409442,0.7511,98.65
4,0.7530373,0.8355,90.13
5,0.3935013,0.4444,88.55
6,0.8514904,0.8807,96.68
7,0.868061,0.9235,94
8,0.8639614,0.9625,89.76
9,0.8648679,0.9884,87.5
10,0.7637601,0.732,95.66
11,0.8299852,0.8862,93.66
12,0.09527022,0.0579,35.46
13,0.4885141,0.5397,90.52
14,0.4425127,0.5024,88.08
15,0.8467755,0.9658,87.68
16,0.7723468,0.8091,95.46
17,0.4750391,0.5201,91.34
18,0.1252262,0.1174,93.33
19,0.7383722,0.7438,99.27
20,0.2917712,0.3096,94.24
21,0.6167663,0.6505,94.81
22,0.2949594,0.3684,80.06
23,0.3985792,0.4631,86.07
24,0.8729692,0.9743,89.6
25,0.7311072,0.7963,91.81
26,0.5806161,0.5857,99.13
27,0.5628058,0.6256,89.96
28,0.549948,0.5518,99.66
29,0.1075159,0.065,34.59
30,0.1369249,0.1341,97.89
31,0.7895061,0.8883,88.88
32,0.8485876,0.9416,90.12
33,0.6446726,0.6691,96.35
34,0.8061672,0.9127,88.33
35,0.8655768,0.954,90.73
36,0.4757622,0.4896,97.17
37,0.1853677,0.1846,99.58
38,0.8347709,0.9981,83.64
39,0.8615025,0.9522,90.47
40,0.5681154,0.6078,93.47
41,0.7621147,0.7307,95.7
42,0.04271246,0,0
43,0.6116688,0.652,93.81
44,0.3537202,0.3999,88.45
45,0.5861595,0.6144,95.4
46,0.2164203,0.2762,78.36
47,0.6321823,0.6424,98.41
48,0.8364309,0.9416,88.83
49,0.2862553,0.3191,89.71
50,0.8133904,0.8738,93.09
51,0.8197818,0.8918,91.92
52,0.3190572,0.3423,93.21
53,0.7587095,0.7936,95.6
54,0.8640856,0.9623,89.79
55,0.7727386,0.7961,97.07
56,0.1785161,0.2072,86.16
57,0.7008616,0.7323,95.71
58,0.7192199,0.7408,97.09
59,0.3555435,0.4491,79.17
60,0.6567512,0.6773,96.97
61,0.5399065,0.571,94.55
62,0.7727929,0.8174,94.54
63,0.5681384,0.5523,97.13
64,0.4177658,0.4359,95.84
65,0.0708982,0,0
66,0.7729793,0.7896,97.9
67,0.6144904,0.6505,94.46
68,0.8574613,0.9924,86.4
69,0.6099972,0.6186,98.61
70,0.6649546,0.7131,93.25
71,0.8591936,0.9936,86.47
72,0.2610965,0.2345,88.66
73,0.2078488,0.2535,81.99
74,0.5114647,0.5564,91.92
75,0.6655914,0.6988,95.25
76,0.82139,0.8641,95.06
77,0.8415829,0.8985,93.67
78,0.8033265,0.8366,96.02
79,0.8503969,0.9655,88.08
80,0.2489994,0.3062,81.32
81,0.2379478,0.2359,99.13
82,0.6477252,0.7016,92.32
83,0.7920859,0.9069,87.34
84,0.6009378,0.6341,94.77
85,0.853304,0.9095,93.82
86,0.09277558,0.0368,0
87,0.7948712,0.8285,95.94
88,0.7926124,0.8744,90.65
89,0.8396761,0.9447,88.88
90,0.8086801,0.8997,89.88
91,0.5088236,0.5772,88.15
92,0.7707188,0.8101,95.14
93,0.7843927,0.8786,89.28
94,0.506107,0.5568,90.9
95,0.6180537,0.6278,98.45
96,0.6058773,0.599,98.85
97,0.8025629,0.9067,88.51
98,0.572203,0.6266,91.32
99,0.3970042,0.4611,86.1
